Comment,Designator,Footprint,LCSC Part#
0.1uF,"C2,C11,C16,C17,C19,C27,C30,C31,C33,C34,C35,C39,C40,C45,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61",Capacitor_SMD:C_0805_2012Metric,C49678
47uF,"C20,C21,C22,C36,C37,C38",Capacitor_SMD:C_0805_2012Metric,C16780
2.2uF,"C23,C24,C25,C26,C41,C42,C43,C44",Capacitor_SMD:C_0805_2012Metric,C23692980
100uF,"C28,C46",Capacitor_SMD:C_Elec_8x10.2,C3352
4.7nF,"C29,C47",Capacitor_SMD:C_0805_2012Metric,C1744
47pF,"C32,C48",Capacitor_SMD:C_0805_2012Metric,C14857
10nF,"C62,C63,C64,C65,C66,C67,C68,C69",Capacitor_SMD:C_0805_2012Metric,C1710
S5J-E3,D21,Diode_SMD:D_SMC,C382934
B560C,"D22,D34",Diode_SMD:D_SMA,C139681
Green LED,D46,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84260
8.2uH (SWPA8040S8R2MT),"L1,L2",Inductor_SMD:L_Sunlord_SWPA8040S,C84610
10k,"R3,R4,R5,R6,R17,R18,R19,R20,R27,R28,R29,R30,R37,R38,R43,R44,R58,R60,R62,R64,R78,R79,R80,R81,R96,R101,R102,R103,R104,R124,R125,R126,R127,R128,R145,R146,R147,R148,R149,R175,R177,R178,R179",Resistor_SMD:R_0805_2012Metric,C17414
40k,"R65,R68,R70,R73,R83,R84,R85,R87,R105,R106,R107,R108,R129,R130,R131,R132,R150,R151,R152,R155,R181,R182,R183,R185",Resistor_SMD:R_0805_2012Metric,C5266069
120,R69,Resistor_SMD:R_0805_2012Metric,C17437
4.7k,"R76,R77,R153,R154,R156,R157,R162,R164,R165,R166,R170,R173,R174,R176,R180,R184,R186,R187",Resistor_SMD:R_0805_2012Metric,C17673
442k,"R91,R114",Resistor_SMD:R_0805_2012Metric,C17699
53.6k,R92,Resistor_SMD:R_0805_2012Metric,C245350
150,"R93,R116,R139",Resistor_SMD:R_0805_2012Metric,C17471
90.9k,"R94,R122",Resistor_SMD:R_0805_2012Metric,C294745
243k,"R95,R123",Resistor_SMD:R_0805_2012Metric,C17573
16.9k,"R100,R133",Resistor_SMD:R_0805_2012Metric,C17484
180k,R115,Resistor_SMD:R_0805_2012Metric,C22356790
SN74LV1T34DCK,"U2,U5,U7,U10",Package_TO_SOT_SMD:SOT-353_SC-70-5,C22112
MCP3208,U6,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C16939
SP3485EN,U13,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C8963
OPA192IDBVR,"U14,U15,U16,U17,U21,U22,U23,U24,U28,U29,U30,U31,U37,U38,U39,U40,U45,U46,U47,U48,U54,U55,U56,U57",OPA192IDBVR:SOT95P280X145-5N,C139648
MCP4728-E_UN,"U19,U20,U35,U36,U50,U51",MCP4728-E_UN:SOP50P490X110-10N,C108207
TPS54560DDAR,"U25,U32",Package_SO:Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,C31966
AD5245BRJZ100-RL7,"U26,U27,U33,U34,U41,U42,U43,U44,U52,U53,U58,U59,U60,U61",FootprintLibraryCS:RJ_8_ADI,C649402
TCA9548APWR,U49,TCA9548APWR:SOP65P640X120-24N,C130026
